2026-07-31 05:47:13,687 | ERROR | FAILED | Server=10.1.1.1234893297298372 | PostgreSQL=16
2026-07-31 05:49:19,994 | ERROR | FAILED | Server=10.1.1.1234893297298372 | PostgreSQL=16
2026-07-31 06:01:43,520 | ERROR | FAILED | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 06:03:30,201 | ERROR | FAILED | Server=10.1.1.12 | PostgreSQL=18
2026-07-31 06:15:45,002 | ERROR | FAILED | Server=10.1.1.12 | PostgreSQL=18
2026-07-31 06:17:13,513 | ERROR | FAILED | Server=10.1.1.12 | PostgreSQL=18
2026-07-31 06:40:04,915 | ERROR | FAILED | Server=10.1.1.12 | PostgreSQL=18
2026-07-31 06:43:53,197 | ERROR | FAILED | Server=10.1.1.12 | PostgreSQL=18
2026-07-31 06:44:41,646 | ERROR | FAILED | Server=10.1.1.12 | PostgreSQL=18
2026-07-31 06:50:08,296 | ERROR | FAILED | Server=10.1.1.12 | PostgreSQL=18
2026-07-31 06:52:52,149 | ERROR | FAILED | Server=10.1.1.12 | PostgreSQL=18
2026-07-31 06:53:26,559 | ERROR | FAILED | Server=10.1.1.12 | PostgreSQL=18
2026-07-31 06:54:01,491 | ERROR | FAILED | Server=10.1.1.12 | PostgreSQL=16
2026-07-31 06:54:44,007 | ERROR | FAILED | Server=10.1.1.122 | PostgreSQL=16
2026-07-31 06:58:10,621 | ERROR | FAILED | Server=10.1.1.122 | PostgreSQL=16
2026-07-31 10:23:01,962 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 10:34:11,268 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 10:34:47,552 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 10:35:38,324 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 10:37:25,383 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 10:52:21,997 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 10:52:32,410 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 10:53:42,770 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 11:10:03,463 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 11:10:54,842 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 11:11:22,896 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 11:19:41,043 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 11:20:04,435 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 11:23:56,749 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 11:26:42,305 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 11:30:06,869 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 11:30:56,795 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 11:31:25,661 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 11:32:07,665 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 11:41:01,319 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 11:49:49,974 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-07-31 11:55:15,384 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 05:35:46,282 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 05:36:31,760 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 05:42:41,606 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 06:02:40,765 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 06:03:45,531 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 06:04:45,947 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 06:05:20,932 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 06:06:21,441 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 06:08:48,750 | ERROR | FAILED | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 06:10:56,532 | ERROR | FAILED | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 06:11:11,300 | ERROR | FAILED | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 06:11:52,079 | ERROR | FAILED | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 06:12:11,854 | ERROR | FAILED | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 06:13:17,638 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 06:13:20,982 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 06:14:19,177 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 07:00:16,733 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 07:11:20,104 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 09:59:34,197 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 10:00:52,288 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 10:02:32,784 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 10:03:10,782 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 10:05:27,110 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 12:38:27,767 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-03 13:23:46,530 | ERROR | FAILED | Server=10.1.1.217 | PostgreSQL=16
2026-08-03 13:31:59,312 | INFO | SUCCESS | Server=10.1.1.217 | PostgreSQL=16
2026-08-04 06:15:03,863 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
2026-08-05 12:26:34,497 | INFO | SUCCESS | Server=10.1.1.12 | PostgreSQL=17
